Police Department	State	2014 population (US Census)	2015 victims	Rate of Police Killings per Million Population	Black population (2012 Census by Race)	Percent population black	2015 black victims	Percent victims black	Disparity	Violent crimes (2014 FBI UCR)	Violent Crime per 1,000 residents
60 Cities Total		53,931,009	249	4.62	8,023,730	15%	102	41%	26%		
US Average		318,900,000	1152	3.61	42,094,800	13%	321	28%	15%		3.66
